Tue. Nov. 22, 2016             LANDSAT 5                 Time: 21:34
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L21771215            Path/Row: 141 / 048

L0R Reference Image: L51BKT1006047040100_HDF.163280205
Acquisition Date: Feb 16, 2006

Band Number:  5

GLS date for each WRS-2 path/row used:
Path  Row   Date
141   048   12-08-2000


Point_ID         Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                      Scan      Scan      In y      in x
                                                    Residual  Residual    dir       dir
                   (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

1410480215_01   18.139863   82.902271   949.952       0.524     1.242     0.345     1.301
1410480218_01   17.989427   82.984489    35.191       2.874    -4.845     3.523    -4.396
1410480219_01   17.108293   82.187255   -52.657       5.402    -0.920     5.477    -0.152
1410480222_01   18.000015   83.560361   -69.880      -2.939    -2.879    -2.508    -3.263
1410480223_01   17.220706   82.060731   -22.192      -3.945    -2.547    -3.547    -3.075
1410480225_01   16.796101   81.886345   -64.583       2.093    -6.098     2.931    -5.742
1410480226_01   18.060987   82.192357   605.352      -2.083    -4.169    -1.478    -4.414
1410480228_01   18.059976   83.129497    -1.023      -1.106    -1.588    -0.873    -1.727
1410480230_01   17.178072   82.020716   -20.217       0.668    -0.014     0.663     0.080
1410480231_01   17.693082   82.738301    19.150       3.575    -1.958     3.814    -1.438
1410480237_01   17.910312   82.815436    20.074      -0.323     3.538    -0.815     3.458
1410480238_01   17.685450   83.297212   -69.548       0.723    -0.904     0.843    -0.794
1410480239_01   17.446078   82.893522   -68.412      -1.009     1.495    -1.209     1.339
1410480240_01   18.079603   83.191787   -14.041       3.134     0.668     3.010     1.100
1410480241_01   17.229092   82.377331   -51.726       1.766     0.967     1.613     1.205
1410480242_01   17.974417   83.097318     9.366       0.499    -3.041     0.920    -2.942
1410480243_01   17.793646   82.967319     1.897      -3.992    -3.305    -3.490    -3.832
1410480245_01   17.192916   82.227566   -41.239       2.736    -3.607     3.215    -3.187
1410480246_01   17.348295   82.502427   -33.215      -4.335    -0.795    -4.180    -1.395
1410480247_01   17.685940   83.254812   -51.778      -2.654    -2.182    -2.323    -2.533
1410480249_01   18.019429   83.263552   -28.656      -2.163     1.676    -2.376     1.358
1410480251_01   18.020886   82.391856   782.853      -0.599    -1.243    -0.419    -1.313
1410480255_01   17.976489   83.055712    20.704       0.689    -1.669     0.916    -1.556
1410480256_01   17.438714   82.588739   149.945      -1.596    -0.836    -1.463    -1.052
1410480257_01   17.252797   82.547358   -68.201       3.398     1.611     3.138     2.072
1410480258_01   18.072989   82.810300   885.914      -5.007     1.074    -5.100     0.364
1410480259_01   18.054259   82.310214   556.313       0.556     2.367     0.219     2.418
1410480262_01   17.834685   83.415968   -71.000      -3.893    -6.389    -2.961    -6.874
1410480264_01   17.881724   83.046977     9.541      -1.082    -1.076    -0.921    -1.217
