==============================================================================
==============================================================================
Wed. Nov. 23 2016                  LANDSAT 5                       Time: 03:37
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: 0501611211520_00484                          Path / Row - 141 / 48
Reference Image: L51BKT1006047040100_HDF.L1G

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 100.0%
Rank   2 --  0.0%
Rank   3 --  0.0%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
1410481288   17.84008     82.18380     0.11      0.16     0.19     1 
1410481289   17.83990     82.21296     0.00      0.26     0.26     1 
1410481290   17.83972     82.24211     0.12     -0.00     0.12     1 
1410481291   17.83953     82.27127     0.02      0.18     0.18     1 
1410481292   17.83934     82.30042     0.01      0.20     0.20     1 
1410481293   17.83914     82.32958     0.11      0.05     0.12     1 
1410481294   17.83894     82.35873     0.06      0.05     0.08     1 
1410481295   17.83874     82.38789     0.03      0.03     0.04     1 
1410481296   17.83853     82.41704     0.08      0.05     0.10     1 
1410481297   17.83831     82.44619     0.07      0.02     0.07     1 
1410481298   17.83810     82.47535     0.05      0.13     0.13     1 
1410481299   17.83787     82.50450     0.11      0.19     0.22     1 
1410481300   17.83765     82.53365     0.06      0.02     0.07     1 
1410481301   17.83742     82.56280     0.05      0.07     0.09     1 
1410481302   17.83718     82.59195     0.17      0.07     0.19     1 
1410481303   17.83694     82.62110    -0.13      0.05     0.14     1 
1410481304   17.83670     82.65025    -0.01      0.01     0.01     1 
1410481305   17.83645     82.67940     0.05      0.04     0.07     1 
1410481306   17.83620     82.70855     0.03      0.09     0.10     1 
1410481307   17.83594     82.73770    -0.00      0.05     0.05     1 
1410481308   17.83568     82.76685    -0.00      0.13     0.13     1 
1410481309   17.83541     82.79600    -0.02      0.15     0.15     1 
1410481310   17.83514     82.82514     0.10      0.18     0.20     1 
1410481314   17.83402     82.94173     0.11      0.05     0.12     1 
1410481316   17.83343     83.00002     0.08      0.10     0.13     1 
1410481317   17.83313     83.02916     0.15      0.03     0.15     1 
1410481318   17.83282     83.05830    -0.04     -0.00     0.04     1 
1410481319   17.83251     83.08744    -0.08      0.01     0.08     1 
1410481321   17.83188     83.14573     0.02      0.03     0.04     1 
1410481322   17.83156     83.17487    -0.01     -0.08     0.08     1 
1410481323   17.83123     83.20401     0.04     -0.10     0.11     1 
1410481324   17.83090     83.23315     0.02      0.04     0.05     1 
1410481325   17.83056     83.26228    -0.01      0.09     0.09     1 
1410481326   17.83022     83.29142    -0.06      0.12     0.13     1 
1410481327   17.82988     83.32056     0.04      0.05     0.06     1 
1410481328   17.82953     83.34970     0.09     -0.01     0.09     1 
1410481329   17.82918     83.37883     0.07      0.04     0.08     1 
1410481330   17.82882     83.40797     0.03     -0.22     0.22     1 
1410481361   17.81576     82.12533     0.05      0.12     0.13     1 
1410481362   17.81559     82.15448    -0.07      0.24     0.25     1 
1410481363   17.81541     82.18364     0.08      0.10     0.13     1 
1410481364   17.81523     82.21279    -0.01      0.19     0.19     1 
1410481365   17.81505     82.24194     0.14      0.13     0.19     1 
1410481366   17.81486     82.27109     0.15      0.04     0.16     1 
1410481367   17.81467     82.30024    -0.03      0.12     0.12     1 
1410481368   17.81447     82.32940     0.08      0.06     0.10     1 
1410481369   17.81427     82.35855     0.06      0.09     0.10     1 
1410481370   17.81407     82.38769     0.03      0.08     0.08     1 
1410481371   17.81386     82.41684     0.06      0.09     0.11     1 
1410481372   17.81365     82.44599     0.07      0.05     0.09     1 
1410481373   17.81343     82.47514     0.05      0.11     0.13     1 
1410481374   17.81321     82.50429    -0.11      0.02     0.11     1 
1410481375   17.81298     82.53344    -0.02      0.02     0.03     1 
1410481376   17.81275     82.56259    -0.08      0.06     0.10     1 
1410481377   17.81251     82.59173    -0.08      0.14     0.15     1 
1410481378   17.81227     82.62088     0.04      0.01     0.04     1 
1410481379   17.81203     82.65003    -0.10      0.01     0.10     1 
1410481380   17.81178     82.67917    -0.01      0.18     0.18     1 
1410481381   17.81153     82.70832    -0.14      0.15     0.21     1 
1410481382   17.81127     82.73746    -0.03     -0.04     0.05     1 
1410481383   17.81101     82.76661     0.00      0.08     0.08     1 
1410481384   17.81075     82.79575     0.12      0.09     0.15     1 
1410481386   17.81020     82.85403    -0.06     -0.06     0.08     1 
1410481390   17.80906     82.97060     0.04      0.06     0.07     1 
1410481391   17.80877     82.99974    -0.01     -0.05     0.05     1 
1410481392   17.80847     83.02888     0.08     -0.01     0.08     1 
1410481393   17.80816     83.05802     0.05      0.01     0.05     1 
1410481395   17.80754     83.11629     0.05     -0.02     0.05     1 
1410481397   17.80690     83.17457     0.03      0.03     0.04     1 
1410481398   17.80657     83.20370    -0.01     -0.05     0.05     1 
1410481399   17.80624     83.23284     0.10      0.01     0.10     1 
1410481401   17.80557     83.29111     0.05      0.05     0.07     1 
1410481402   17.80523     83.32024     0.03      0.27     0.28     1 
1410481403   17.80488     83.34937     0.03      0.08     0.09     1 
1410481404   17.80453     83.37851     0.04      0.07     0.08     1 
1410481436   17.79108     82.12518     0.07      0.11     0.13     1 
1410481437   17.79091     82.15433     0.09      0.16     0.18     1 
1410481438   17.79074     82.18348     0.09      0.06     0.11     1 
1410481439   17.79056     82.21262     0.05      0.10     0.11     1 
1410481440   17.79038     82.24177     0.05      0.13     0.14     1 
1410481441   17.79019     82.27092    -0.03      0.05     0.06     1 
1410481442   17.79000     82.30007     0.09      0.01     0.09     1 
1410481443   17.78981     82.32921     0.08      0.03     0.08     1 
1410481444   17.78961     82.35836    -0.04      0.05     0.06     1 
1410481445   17.78940     82.38750    -0.11      0.09     0.14     1 
1410481446   17.78919     82.41665    -0.01      0.12     0.12     1 
1410481447   17.78898     82.44580    -0.05      0.05     0.07     1 
1410481448   17.78876     82.47494     0.00     -0.04     0.04     1 
1410481449   17.78854     82.50408    -0.19      0.13     0.23     1 
1410481450   17.78831     82.53323    -0.06      0.10     0.11     1 
1410481451   17.78808     82.56237    -0.09      0.06     0.10     1 
1410481452   17.78785     82.59152    -0.09      0.04     0.10     1 
1410481453   17.78761     82.62066    -0.08     -0.05     0.09     1 
1410481454   17.78737     82.64980    -0.01      0.12     0.12     1 
1410481455   17.78712     82.67894    -0.01     -0.04     0.04     1 
1410481456   17.78686     82.70808    -0.01      0.08     0.08     1 
1410481457   17.78661     82.73722    -0.04      0.04     0.06     1 
1410481458   17.78635     82.76636     0.11     -0.00     0.11     1 
1410481462   17.78526     82.88292     0.13      0.06     0.14     1 
1410481463   17.78498     82.91206     0.02     -0.01     0.03     1 
1410481465   17.78440     82.97033     0.14     -0.09     0.16     1 
1410481466   17.78411     82.99947     0.03     -0.10     0.11     1 
1410481467   17.78381     83.02860     0.14     -0.04     0.14     1 
1410481468   17.78350     83.05774    -0.13      0.15     0.20     1 
1410481469   17.78319     83.08687     0.04      0.10     0.11     1 
1410481470   17.78288     83.11600     0.06     -0.03     0.07     1 
1410481471   17.78256     83.14514     0.00      0.02     0.02     1 
1410481473   17.78192     83.20340     0.16     -0.02     0.16     1 
1410481474   17.78159     83.23253     0.09     -0.02     0.09     1 
1410481475   17.78125     83.26166     0.13     -0.06     0.14     1 
1410481476   17.78091     83.29079    -0.01      0.06     0.07     1 
1410481477   17.78057     83.31992     0.06      0.08     0.10     1 
1410481478   17.78022     83.34905     0.09     -0.07     0.11     1 
1410481479   17.77987     83.37818    -0.10      0.12     0.16     1 
1410481510   17.76658     82.09588     0.10      0.16     0.19     1 
1410481511   17.76641     82.12502     0.00      0.16     0.16     1 
1410481512   17.76624     82.15417     0.11      0.05     0.12     1 
1410481513   17.76607     82.18331     0.13      0.03     0.14     1 
1410481514   17.76589     82.21246     0.04      0.14     0.15     1 
1410481515   17.76571     82.24160     0.04      0.05     0.07     1 
1410481516   17.76552     82.27074     0.01     -0.07     0.07     1 
1410481517   17.76533     82.29989     0.13      0.13     0.19     1 
1410481518   17.76514     82.32903    -0.09      0.21     0.23     1 
1410481519   17.76494     82.35817     0.01     -0.23     0.23     1 
1410481520   17.76473     82.38731     0.02      0.03     0.04     1 
1410481521   17.76452     82.41646     0.03     -0.10     0.10     1 
1410481522   17.76431     82.44560    -0.04      0.05     0.07     1 
1410481523   17.76409     82.47474    -0.01      0.03     0.03     1 
1410481524   17.76387     82.50388     0.20     -0.10     0.22     1 
1410481525   17.76365     82.53302    -0.00      0.02     0.02     1 
1410481526   17.76342     82.56216    -0.11     -0.01     0.11     1 
1410481527   17.76318     82.59130    -0.10     -0.02     0.10     1 
1410481528   17.76294     82.62044     0.05      0.02     0.06     1 
1410481529   17.76270     82.64957    -0.12     -0.03     0.13     1 
1410481530   17.76245     82.67871     0.11     -0.01     0.11     1 
1410481532   17.76194     82.73699     0.04      0.08     0.09     1 
1410481534   17.76142     82.79526     0.08     -0.04     0.09     1 
1410481536   17.76088     82.85353     0.12     -0.00     0.12     1 
1410481539   17.76003     82.94093     0.03     -0.01     0.03     1 
1410481541   17.75944     82.99919    -0.01      0.04     0.05     1 
1410481542   17.75915     83.02832     0.07      0.05     0.08     1 
1410481543   17.75884     83.05745    -0.09     -0.06     0.11     1 
1410481544   17.75853     83.08658     0.10     -0.07     0.13     1 
1410481545   17.75822     83.11571     0.03      0.06     0.06     1 
1410481546   17.75790     83.14484     0.02      0.05     0.06     1 
1410481548   17.75726     83.20310    -0.01      0.08     0.08     1 
1410481549   17.75693     83.23223     0.06      0.03     0.07     1 
1410481550   17.75659     83.26135     0.08      0.03     0.08     1 
1410481552   17.75591     83.31960     0.07     -0.02     0.07     1 
1410481553   17.75557     83.34873     0.07      0.09     0.12     1 
1410481585   17.74191     82.09573     0.03      0.10     0.11     1 
1410481586   17.74174     82.12487    -0.06      0.12     0.14     1 
1410481587   17.74157     82.15401     0.18      0.06     0.19     1 
1410481588   17.74140     82.18315    -0.00      0.06     0.06     1 
1410481589   17.74122     82.21229     0.19      0.14     0.23     1 
1410481590   17.74104     82.24143     0.06      0.12     0.14     1 
1410481591   17.74085     82.27057    -0.03      0.04     0.05     1 
1410481592   17.74066     82.29971     0.00      0.07     0.07     1 
1410481593   17.74047     82.32885    -0.05      0.03     0.06     1 
1410481594   17.74027     82.35799    -0.09     -0.03     0.09     1 
1410481595   17.74006     82.38712    -0.05      0.01     0.06     1 
1410481596   17.73985     82.41626    -0.02      0.03     0.03     1 
1410481597   17.73964     82.44540    -0.10      0.08     0.13     1 
1410481598   17.73943     82.47454    -0.05      0.11     0.12     1 
1410481599   17.73920     82.50367     0.04      0.04     0.05     1 
1410481600   17.73898     82.53281    -0.03     -0.03     0.04     1 
1410481601   17.73875     82.56194    -0.04      0.01     0.04     1 
1410481604   17.73803     82.64935     0.03     -0.02     0.03     1 
1410481606   17.73754     82.70761     0.06     -0.03     0.06     1 
1410481607   17.73728     82.73675     0.00      0.03     0.03     1 
1410481608   17.73702     82.76588    -0.02      0.15     0.16     1 
1410481609   17.73675     82.79501     0.02      0.04     0.04     1 
1410481612   17.73594     82.88240     0.01      0.02     0.02     1 
1410481616   17.73478     82.99892    -0.01     -0.05     0.05     1 
1410481617   17.73448     83.02805     0.10      0.04     0.10     1 
1410481618   17.73418     83.05717    -0.06     -0.05     0.08     1 
1410481619   17.73387     83.08630     0.01     -0.18     0.18     1 
1410481621   17.73325     83.14455     0.17     -0.01     0.17     1 
1410481622   17.73293     83.17367     0.09     -0.04     0.10     1 
1410481623   17.73260     83.20280    -0.11      0.06     0.12     1 
1410481624   17.73227     83.23192    -0.11      0.06     0.13     1 
1410481625   17.73194     83.26104     0.03      0.03     0.04     1 
1410481626   17.73160     83.29017    -0.07      0.14     0.16     1 
1410481627   17.73126     83.31929     0.00      0.05     0.05     1 
1410481628   17.73091     83.34841    -0.02      0.34     0.34     1 
1410481660   17.71723     82.09558    -0.27      0.02     0.27     1 
1410481661   17.71707     82.12471    -0.07      0.26     0.27     1 
1410481662   17.71690     82.15385    -0.09      0.13     0.16     1 
1410481663   17.71673     82.18299     0.03     -0.01     0.03     1 
1410481664   17.71655     82.21213     0.01      0.04     0.04     1 
1410481665   17.71637     82.24126     0.09      0.09     0.13     1 
1410481666   17.71618     82.27040    -0.04      0.08     0.09     1 
1410481667   17.71599     82.29953     0.22      0.05     0.23     1 
1410481668   17.71580     82.32867    -0.02      0.04     0.05     1 
1410481669   17.71560     82.35780    -0.04      0.10     0.11     1 
1410481670   17.71539     82.38693     0.02      0.04     0.05     1 
1410481671   17.71519     82.41607    -0.14      0.07     0.16     1 
1410481672   17.71497     82.44520    -0.02     -0.01     0.02     1 
1410481673   17.71476     82.47433    -0.13      0.08     0.16     1 
1410481674   17.71454     82.50347     0.02      0.09     0.09     1 
1410481675   17.71431     82.53260    -0.12      0.07     0.14     1 
1410481679   17.71337     82.64912     0.00     -0.01     0.01     1 
1410481685   17.71182     82.82389    -0.06      0.01     0.06     1 
1410481686   17.71155     82.85302     0.01     -0.04     0.04     1 
1410481687   17.71127     82.88214     0.08     -0.22     0.24     1 
1410481688   17.71099     82.91127     0.09      0.04     0.10     1 
1410481689   17.71071     82.94040    -0.06      0.06     0.08     1 
1410481690   17.71042     82.96952     0.06     -0.04     0.07     1 
1410481691   17.71012     82.99864     0.03     -0.10     0.10     1 
1410481692   17.70982     83.02777    -0.01      0.06     0.07     1 
1410481693   17.70952     83.05689     0.03     -0.12     0.13     1 
1410481695   17.70890     83.11513     0.08     -0.07     0.11     1 
1410481696   17.70859     83.14426     0.12     -0.07     0.14     1 
1410481697   17.70827     83.17338     0.03     -0.04     0.05     1 
1410481698   17.70794     83.20250    -0.01     -0.03     0.03     1 
1410481699   17.70761     83.23162     0.06     -0.12     0.14     1 
1410481700   17.70728     83.26073    -0.01      0.08     0.08     1 
1410481701   17.70694     83.28985     0.16      0.06     0.17     1 
1410481735   17.69256     82.09543    -0.10      0.19     0.22     1 
1410481736   17.69240     82.12456    -0.07      0.09     0.11     1 
1410481737   17.69223     82.15369    -0.12      0.06     0.13     1 
1410481738   17.69206     82.18283    -0.05      0.13     0.14     1 
1410481739   17.69188     82.21196     0.09      0.02     0.09     1 
1410481740   17.69170     82.24109    -0.08      0.05     0.10     1 
1410481741   17.69151     82.27022    -0.15      0.04     0.15     1 
1410481742   17.69132     82.29935    -0.01      0.02     0.02     1 
1410481743   17.69113     82.32848    -0.10     -0.02     0.10     1 
1410481744   17.69093     82.35761    -0.06     -0.06     0.08     1 
1410481745   17.69073     82.38675    -0.02      0.03     0.04     1 
1410481746   17.69052     82.41587    -0.01      0.09     0.09     1 
1410481747   17.69030     82.44500     0.03     -0.00     0.03     1 
1410481748   17.69009     82.47413    -0.12      0.05     0.13     1 
1410481749   17.68987     82.50326    -0.14      0.15     0.20     1 
1410481750   17.68964     82.53239     0.06     -0.12     0.13     1 
1410481751   17.68942     82.56152    -0.01     -0.01     0.01     1 
1410481758   17.68769     82.76540     0.02     -0.05     0.06     1 
1410481759   17.68743     82.79452     0.20     -0.11     0.23     1 
1410481760   17.68716     82.82364    -0.14      0.17     0.21     1 
1410481761   17.68689     82.85277    -0.03     -0.09     0.09     1 
1410481762   17.68661     82.88189    -0.01     -0.14     0.14     1 
1410481763   17.68633     82.91101     0.03     -0.08     0.08     1 
1410481764   17.68604     82.94013    -0.05     -0.02     0.05     1 
1410481765   17.68576     82.96925    -0.07      0.02     0.07     1 
1410481766   17.68546     82.99837     0.03      0.01     0.03     1 
1410481767   17.68516     83.02749     0.03      0.04     0.05     1 
1410481768   17.68486     83.05661    -0.08     -0.10     0.13     1 
1410481769   17.68455     83.08573     0.03     -0.12     0.12     1 
1410481770   17.68424     83.11485     0.01      0.06     0.06     1 
1410481771   17.68393     83.14396     0.04     -0.00     0.04     1 
1410481772   17.68361     83.17308     0.09     -0.01     0.09     1 
1410481773   17.68328     83.20220     0.02      0.04     0.04     1 
1410481774   17.68296     83.23131    -0.00      0.01     0.01     1 
1410481775   17.68262     83.26042     0.00     -0.02     0.02     1 
1410481776   17.68229     83.28954     0.07     -0.11     0.13     1 
1410481810   17.66789     82.09528     0.07      0.21     0.22     1 
1410481811   17.66773     82.12441    -0.22      0.00     0.22     1 
1410481812   17.66756     82.15354    -0.21      0.07     0.23     1 
1410481813   17.66739     82.18267    -0.06      0.04     0.07     1 
1410481814   17.66721     82.21179    -0.08     -0.02     0.08     1 
1410481815   17.66703     82.24092    -0.07      0.02     0.07     1 
1410481816   17.66684     82.27005    -0.14      0.10     0.17     1 
1410481817   17.66665     82.29918     0.03     -0.02     0.03     1 
1410481818   17.66646     82.32830    -0.03      0.09     0.09     1 
1410481819   17.66626     82.35743     0.04      0.03     0.05     1 
1410481820   17.66606     82.38656    -0.04      0.02     0.04     1 
1410481821   17.66585     82.41568     0.00      0.08     0.08     1 
1410481824   17.66520     82.50306    -0.03     -0.06     0.07     1 
1410481828   17.66428     82.61955     0.08      0.14     0.16     1 
1410481832   17.66328     82.73604     0.12      0.07     0.14     1 
1410481833   17.66303     82.76515     0.11     -0.00     0.11     1 
1410481834   17.66276     82.79427     0.01     -0.04     0.04     1 
1410481836   17.66222     82.85251     0.08      0.03     0.09     1 
1410481837   17.66195     82.88163     0.06     -0.09     0.10     1 
1410481838   17.66167     82.91075    -0.02      0.00     0.02     1 
1410481839   17.66138     82.93987     0.05     -0.07     0.08     1 
1410481840   17.66109     82.96898    -0.08      0.01     0.08     1 
1410481842   17.66050     83.02721     0.02     -0.15     0.15     1 
1410481843   17.66020     83.05633    -0.11      0.01     0.11     1 
1410481844   17.65989     83.08544     0.05     -0.10     0.12     1 
1410481845   17.65958     83.11456     0.05     -0.11     0.12     1 
1410481846   17.65927     83.14367    -0.03      0.04     0.05     1 
1410481847   17.65895     83.17278     0.08     -0.10     0.13     1 
1410481848   17.65863     83.20189     0.12      0.09     0.14     1 
1410481849   17.65830     83.23101     0.06     -0.06     0.08     1 
1410481850   17.65797     83.26012     0.17      0.08     0.19     1 
1410481884   17.64338     82.06600     0.03      0.14     0.15     1 
1410481885   17.64322     82.09513     0.08      0.00     0.08     1 
1410481886   17.64306     82.12426    -0.00      0.06     0.06     1 
1410481887   17.64289     82.15338    -0.20      0.01     0.20     1 
1410481888   17.64271     82.18250    -0.07     -0.00     0.07     1 
1410481889   17.64254     82.21163    -0.04      0.08     0.09     1 
1410481890   17.64236     82.24075    -0.22     -0.05     0.22     1 
1410481891   17.64217     82.26988    -0.04      0.11     0.11     1 
1410481892   17.64198     82.29900    -0.01     -0.00     0.01     1 
1410481893   17.64179     82.32812    -0.10     -0.03     0.10     1 
1410481894   17.64159     82.35725     0.09     -0.01     0.09     1 
1410481895   17.64139     82.38637    -0.05      0.06     0.08     1 
1410481896   17.64118     82.41549    -0.01      0.10     0.10     1 
1410481899   17.64053     82.50285    -0.00     -0.00     0.01     1 
1410481900   17.64031     82.53197     0.06     -0.17     0.18     1 
1410481901   17.64008     82.56109     0.21     -0.07     0.22     1 
1410481902   17.63985     82.59021     0.01      0.08     0.08     1 
1410481903   17.63961     82.61933     0.06      0.18     0.18     1 
1410481907   17.63862     82.73580    -0.03      0.09     0.10     1 
1410481908   17.63836     82.76492     0.05     -0.01     0.05     1 
1410481911   17.63756     82.85226     0.25     -0.13     0.29     1 
1410481912   17.63728     82.88138     0.08     -0.04     0.09     1 
1410481914   17.63672     82.93960     0.22      0.01     0.22     1 
1410481917   17.63584     83.02694    -0.01     -0.08     0.08     1 
1410481919   17.63523     83.08516     0.06     -0.04     0.08     1 
1410481920   17.63492     83.11427    -0.02      0.06     0.06     1 
1410481921   17.63461     83.14338     0.10      0.03     0.10     1 
1410481922   17.63429     83.17249     0.00      0.05     0.05     1 
1410481923   17.63397     83.20159     0.02     -0.03     0.04     1 
1410481924   17.63364     83.23070     0.05     -0.25     0.25     1 
1410481959   17.61871     82.06586    -0.01     -0.03     0.04     1 
1410481960   17.61855     82.09498     0.04      0.07     0.08     1 
1410481961   17.61838     82.12410    -0.02     -0.04     0.04     1 
1410481962   17.61822     82.15322    -0.04      0.10     0.11     1 
1410481963   17.61804     82.18234    -0.03      0.12     0.13     1 
1410481964   17.61787     82.21146    -0.02      0.06     0.06     1 
1410481965   17.61769     82.24058     0.05      0.03     0.06     1 
1410481966   17.61750     82.26970     0.14     -0.04     0.14     1 
1410481967   17.61731     82.29882     0.01      0.08     0.08     1 
1410481968   17.61712     82.32794    -0.02     -0.00     0.02     1 
1410481969   17.61692     82.35706    -0.05      0.11     0.13     1 
1410481970   17.61672     82.38618    -0.08      0.00     0.08     1 
1410481971   17.61651     82.41530    -0.04      0.10     0.11     1 
1410481973   17.61608     82.47353    -0.08      0.01     0.08     1 
1410481974   17.61586     82.50265    -0.15     -0.02     0.15     1 
1410481975   17.61564     82.53176    -0.07      0.10     0.12     1 
1410481976   17.61541     82.56088    -0.14     -0.25     0.29     1 
1410481979   17.61470     82.64822    -0.09     -0.04     0.10     1 
1410481980   17.61446     82.67734    -0.06     -0.02     0.06     1 
1410481982   17.61396     82.73556    -0.07      0.14     0.16     1 
1410481984   17.61343     82.79379     0.09     -0.02     0.09     1 
1410481985   17.61317     82.82290     0.02      0.00     0.02     1 
1410481986   17.61290     82.85201    -0.04     -0.08     0.09     1 
1410481987   17.61262     82.88112     0.05     -0.05     0.07     1 
1410481996   17.60995     83.14309    -0.12     -0.02     0.13     1 
1410481998   17.60931     83.20130    -0.04      0.18     0.19     1 
1410481999   17.60898     83.23040    -0.16      0.02     0.16     1 
1410482034   17.59404     82.06571     0.06      0.04     0.07     1 
1410482035   17.59388     82.09483    -0.07      0.18     0.20     1 
1410482036   17.59371     82.12395    -0.01      0.03     0.03     1 
1410482037   17.59354     82.15307    -0.15      0.15     0.21     1 
1410482038   17.59337     82.18218    -0.02     -0.07     0.07     1 
1410482039   17.59320     82.21130    -0.09      0.13     0.16     1 
1410482040   17.59302     82.24041    -0.04     -0.02     0.05     1 
1410482041   17.59283     82.26953     0.06      0.02     0.06     1 
1410482042   17.59264     82.29865    -0.01      0.05     0.05     1 
1410482043   17.59245     82.32776    -0.05     -0.04     0.06     1 
1410482044   17.59225     82.35688    -0.03      0.04     0.05     1 
1410482045   17.59205     82.38599     0.00      0.01     0.01     1 
1410482046   17.59184     82.41510     0.21     -0.02     0.21     1 
1410482047   17.59163     82.44422    -0.03     -0.00     0.03     1 
1410482048   17.59142     82.47333     0.02      0.03     0.03     1 
1410482049   17.59120     82.50244    -0.04     -0.02     0.05     1 
1410482050   17.59097     82.53155    -0.19     -0.04     0.20     1 
1410482055   17.58979     82.67711    -0.06      0.16     0.17     1 
1410482057   17.58929     82.73533     0.09      0.08     0.12     1 
1410482058   17.58903     82.76444    -0.03      0.08     0.09     1 
1410482059   17.58877     82.79354     0.09     -0.10     0.14     1 
1410482060   17.58850     82.82265     0.17     -0.16     0.24     1 
1410482061   17.58823     82.85176    -0.11      0.07     0.14     1 
1410482064   17.58740     82.93908     0.20      0.00     0.20     1 
1410482065   17.58711     82.96818     0.12      0.05     0.13     1 
1410482066   17.58682     82.99728    -0.12      0.10     0.15     1 
1410482068   17.58622     83.05549     0.02      0.03     0.03     1 
1410482071   17.58529     83.14280    -0.06      0.15     0.16     1 
1410482109   17.56936     82.06557     0.08      0.14     0.16     1 
1410482110   17.56920     82.09468     0.06      0.04     0.07     1 
1410482111   17.56904     82.12380    -0.03      0.12     0.12     1 
1410482112   17.56887     82.15291     0.00      0.11     0.11     1 
1410482113   17.56870     82.18202     0.12      0.01     0.12     1 
1410482114   17.56853     82.21113     0.01     -0.09     0.09     1 
1410482115   17.56835     82.24025    -0.08      0.02     0.08     1 
1410482116   17.56816     82.26936     0.08      0.01     0.08     1 
1410482117   17.56797     82.29847    -0.20     -0.00     0.20     1 
1410482118   17.56778     82.32758    -0.08     -0.13     0.15     1 
1410482119   17.56758     82.35669     0.03      0.01     0.04     1 
1410482120   17.56738     82.38580     0.16     -0.02     0.16     1 
1410482121   17.56717     82.41491     0.07      0.02     0.07     1 
1410482122   17.56696     82.44402     0.05      0.07     0.09     1 
1410482123   17.56675     82.47313     0.01     -0.01     0.01     1 
1410482124   17.56653     82.50224    -0.07      0.06     0.09     1 
1410482125   17.56631     82.53135    -0.04      0.14     0.15     1 
1410482126   17.56608     82.56046    -0.00     -0.06     0.06     1 
1410482128   17.56561     82.61867     0.01     -0.01     0.01     1 
1410482129   17.56537     82.64777    -0.04      0.04     0.05     1 
1410482132   17.56462     82.73509     0.11      0.07     0.13     1 
1410482133   17.56437     82.76420    -0.02     -0.06     0.07     1 
1410482134   17.56411     82.79330    -0.05     -0.11     0.11     1 
1410482135   17.56384     82.82240     0.00     -0.02     0.02     1 
1410482136   17.56357     82.85151     0.03     -0.08     0.08     1 
1410482138   17.56302     82.90971     0.03     -0.02     0.04     1 
1410482139   17.56273     82.93881    -0.00     -0.16     0.16     1 
1410482140   17.56245     82.96791    -0.07     -0.09     0.11     1 
1410482143   17.56156     83.05521    -0.07      0.04     0.09     1 
1410482145   17.56095     83.11341     0.09     -0.00     0.09     1 
1410482146   17.56063     83.14251    -0.06     -0.09     0.11     1 
1410482147   17.56031     83.17160     0.08     -0.10     0.12     1 
1410482184   17.54469     82.06543     0.05      0.18     0.19     1 
1410482185   17.54453     82.09453    -0.01      0.05     0.05     1 
1410482186   17.54437     82.12364     0.02      0.06     0.07     1 
1410482187   17.54420     82.15275    -0.07      0.02     0.08     1 
1410482188   17.54403     82.18186     0.04     -0.07     0.08     1 
1410482189   17.54385     82.21097    -0.04      0.09     0.10     1 
1410482191   17.54349     82.26919     0.07     -0.07     0.10     1 
1410482192   17.54330     82.29829    -0.07     -0.06     0.09     1 
1410482193   17.54311     82.32740     0.08     -0.10     0.13     1 
1410482194   17.54291     82.35651     0.04      0.00     0.04     1 
1410482195   17.54271     82.38561    -0.16      0.02     0.16     1 
1410482196   17.54250     82.41472     0.04      0.01     0.04     1 
1410482197   17.54229     82.44383     0.03     -0.06     0.07     1 
1410482198   17.54208     82.47293     0.13     -0.08     0.15     1 
1410482199   17.54186     82.50204     0.04     -0.01     0.04     1 
1410482200   17.54164     82.53114     0.04     -0.07     0.08     1 
1410482201   17.54141     82.56024    -0.05     -0.04     0.06     1 
1410482202   17.54118     82.58935    -0.05     -0.04     0.06     1 
1410482203   17.54094     82.61845    -0.01     -0.13     0.13     1 
1410482204   17.54070     82.64755    -0.07     -0.03     0.07     1 
1410482205   17.54046     82.67665    -0.03      0.05     0.06     1 
1410482206   17.54021     82.70576     0.09     -0.17     0.19     1 
1410482207   17.53996     82.73486    -0.13     -0.08     0.15     1 
1410482208   17.53970     82.76396    -0.03     -0.01     0.03     1 
1410482209   17.53944     82.79306    -0.01     -0.03     0.03     1 
1410482210   17.53918     82.82216    -0.16      0.06     0.17     1 
1410482211   17.53891     82.85126     0.05      0.15     0.16     1 
1410482213   17.53835     82.90945     0.06      0.05     0.08     1 
1410482216   17.53749     82.99674     0.08     -0.00     0.08     1 
1410482217   17.53720     83.02584     0.21      0.12     0.24     1 
1410482218   17.53690     83.05493     0.09     -0.06     0.10     1 
1410482219   17.53659     83.08403    -0.29      0.08     0.30     1 
1410482259   17.52002     82.06528     0.07      0.13     0.15     1 
1410482260   17.51986     82.09439     0.04      0.11     0.12     1 
1410482261   17.51970     82.12349    -0.13      0.25     0.28     1 
1410482262   17.51953     82.15260    -0.06      0.08     0.10     1 
1410482263   17.51936     82.18170    -0.11     -0.01     0.11     1 
1410482264   17.51918     82.21081     0.03      0.05     0.06     1 
